=== LPC Import Credits ===
Generated: 2026-03-01 22:29:23
Total items: 1101

All assets imported under their respective safe licenses (CC0, OGA-BY, CC-BY).
Assets requiring GPL or CC-BY-SA were excluded from import.

[Afro] (female) Authors: bluecarrot16 | License: CC0 | https://opengameart.org/content/lpc-hair
[Bandana] (female) Authors: Matthew Krohn (makrohn), JaidynReiman, Marcel van de Steeg (MadMarcel), JaidynReiman | License: OGA-BY 3.0, CC-BY-SA 3.0 | https://opengameart.org/content/lpc-female-orcogregoblintroll-base-walkcycle ; https://github.com/makrohn/Universal-LPC-spritesheet/commit/f50007cb47c235d8896cafae7a613f0b6a9a09a8?short_path=02b86d4#diff-02b86d45789a3e3e8e79519c7d17d15c9e6ecc9b4ddecb1bcd8dfbbaef430b75 ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Bandana] (male) Authors: Matthew Krohn (makrohn), JaidynReiman, Marcel van de Steeg (MadMarcel), JaidynReiman | License: OGA-BY 3.0, CC-BY-SA 3.0 | https://opengameart.org/content/lpc-female-orcogregoblintroll-base-walkcycle ; https://github.com/makrohn/Universal-LPC-spritesheet/commit/f50007cb47c235d8896cafae7a613f0b6a9a09a8?short_path=02b86d4#diff-02b86d45789a3e3e8e79519c7d17d15c9e6ecc9b4ddecb1bcd8dfbbaef430b75 ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Bangs bun] (female) Authors: ElizaWy, bluecarrot16 | License: CC0 | https://opengameart.org/content/lpc-hair ; https://github.com/ElizaWy/LPC/blob/main/Characters/Hair ; https://opengameart.org/content/lpc-expanded-sit-run-jump-more
[Bangs bun] (male) Authors: ElizaWy, bluecarrot16 | License: CC0 | https://opengameart.org/content/lpc-hair ; https://github.com/ElizaWy/LPC/blob/main/Characters/Hair ; https://opengameart.org/content/lpc-expanded-sit-run-jump-more
[Barbarian nasal] (female) Authors: bluecarrot16 | License: CC-BY 3.0, CC-BY 4.0, OGA-BY 3.0, GPL 2.0, GPL 3.0 | https://opengameart.org/content/lpc-helmets ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Barbarian nasal] (male) Authors: bluecarrot16 | License: CC-BY 3.0, CC-BY 4.0, OGA-BY 3.0, GPL 2.0, GPL 3.0 | https://opengameart.org/content/lpc-helmets ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Barbarian Viking] (female) Authors: bluecarrot16 | License: CC-BY 3.0, CC-BY 4.0, OGA-BY 3.0, GPL 2.0, GPL 3.0 | https://opengameart.org/content/lpc-helmets ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Barbarian Viking] (male) Authors: bluecarrot16 | License: CC-BY 3.0, CC-BY 4.0, OGA-BY 3.0, GPL 2.0, GPL 3.0 | https://opengameart.org/content/lpc-helmets ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Barbarian] (female) Authors: bluecarrot16 | License: CC-BY 3.0, CC-BY 4.0, OGA-BY 3.0, GPL 2.0, GPL 3.0 | https://opengameart.org/content/lpc-helmets ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Barbarian] (male) Authors: bluecarrot16 | License: CC-BY 3.0, CC-BY 4.0, OGA-BY 3.0, GPL 2.0, GPL 3.0 | https://opengameart.org/content/lpc-helmets ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Barbuta] (female) Authors: bluecarrot16 | License: OGA-BY 3.0, CC-BY 3.0, CC-BY 4.0, GPL 2.0, GPL 3.0 | https://opengameart.org/content/lpc-helmets ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Barbuta] (male) Authors: bluecarrot16 | License: OGA-BY 3.0, CC-BY 3.0, CC-BY 4.0, GPL 2.0, GPL 3.0 | https://opengameart.org/content/lpc-helmets ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[barry] (female) Authors: bluecarrot16, Sander Frenken (castelonia), ElizaWy | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-shields
[barry] (male) Authors: bluecarrot16, Sander Frenken (castelonia), ElizaWy | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-shields
[Bascinet] (female) Authors: bluecarrot16, ElizaWy, Sander Frenken (castelonia) | License: OGA-BY 3.0, CC-BY-SA 4.0, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/lpc-realistic-helmet-pack ; https://opengameart.org/content/lpc-helmets-mega-pack ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Bascinet] (male) Authors: bluecarrot16, ElizaWy, Sander Frenken (castelonia) | License: OGA-BY 3.0, CC-BY-SA 4.0, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/lpc-realistic-helmet-pack ; https://opengameart.org/content/lpc-helmets-mega-pack ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Basic Boots] (female) Authors: JaidynReiman, bluecarrot16, Nila122 | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 2.0, GPL 3.0 | https://opengameart.org/content/lpc-clothes-and-hair ; https://opengameart.org/content/lpc-expanded-socks-shoes
[Basic Boots] (male) Authors: JaidynReiman, bluecarrot16, Nila122 | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 2.0, GPL 3.0 | https://opengameart.org/content/lpc-clothes-and-hair ; https://opengameart.org/content/lpc-expanded-socks-shoes
[Basic Shoes] (female) Authors: JaidynReiman, bluecarrot16, Johannes Sjölund (wulax) | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/lpc-medieval-fantasy-character-sprites ; http://opengameart.org/content/lpc-clothing-updates ; https://opengameart.org/content/lpc-expanded-socks-shoes
[Basic Shoes] (female) Authors: JaidynReiman, Joe White, Johannes Sjölund (wulax) | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/lpc-medieval-fantasy-character-sprites ; http://opengameart.org/content/lpc-clothing-updates ; https://opengameart.org/content/lpc-expanded-socks-shoes
[Basic Shoes] (male) Authors: JaidynReiman, bluecarrot16, Johannes Sjölund (wulax) | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/lpc-medieval-fantasy-character-sprites ; http://opengameart.org/content/lpc-clothing-updates ; https://opengameart.org/content/lpc-expanded-socks-shoes
[Basic Shoes] (male) Authors: JaidynReiman, Joe White, Johannes Sjölund (wulax) | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/lpc-medieval-fantasy-character-sprites ; http://opengameart.org/content/lpc-clothing-updates ; https://opengameart.org/content/lpc-expanded-socks-shoes
[Basket] (female) Authors: bluecarrot16 | License: CC0 | https://opengameart.org/content/lpc-more-backpacks
[Basket] (male) Authors: bluecarrot16 | License: CC0 | https://opengameart.org/content/lpc-more-backpacks
[Bat Wings] (female) Authors: ElizaWy, JaidynReiman | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-wings-new-animations
[Bat Wings] (male) Authors: ElizaWy, JaidynReiman | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-wings-new-animations
[Batlike Lizard Wings] (female) Authors: ElizaWy, JaidynReiman | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-wings-new-animations
[Batlike Lizard Wings] (male) Authors: ElizaWy, JaidynReiman | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-wings-new-animations
[Bauldron] (female) Authors: Nila122 | License: GPL 2.0, GPL 3.0, OGA-BY 3.0, CC-BY-SA 3.0 | https://opengameart.org/content/more-lpc-clothes-and-hair
[Bauldron] (male) Authors: Nila122 | License: GPL 2.0, GPL 3.0, OGA-BY 3.0, CC-BY-SA 3.0 | https://opengameart.org/content/more-lpc-clothes-and-hair
[Belle skirt] (female) Authors: bluecarrot16, Matthew Krohn (makrohn), Lanea Zimmerman (Sharm) | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles ; https://opengameart.org/content/lpc-dress-in-combat-poses ; http://opengameart.org/content/lpc-clothing-updates
[Belly belt] (female) Authors: bluecarrot16, Johannes Sjölund (wulax), Matthew Krohn (makrohn) | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/lpc-combat-armor-for-women ; https://opengameart.org/content/lpc-pirates ; https://opengameart.org/content/lpc-santa
[Belly belt] (male) Authors: bluecarrot16, Johannes Sjölund (wulax), Matthew Krohn (makrohn) | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/lpc-combat-armor-for-women ; https://opengameart.org/content/lpc-pirates ; https://opengameart.org/content/lpc-santa
[bend] (female) Authors: bluecarrot16, Sander Frenken (castelonia), ElizaWy | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-shields
[bend] (male) Authors: bluecarrot16, Sander Frenken (castelonia), ElizaWy | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-shields
[bend_sinister] (female) Authors: bluecarrot16, Sander Frenken (castelonia), ElizaWy | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-shields
[bend_sinister] (male) Authors: bluecarrot16, Sander Frenken (castelonia), ElizaWy | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-shields
[bendy] (female) Authors: bluecarrot16, Sander Frenken (castelonia), ElizaWy, JaidynReiman | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-shields
[bendy] (male) Authors: bluecarrot16, Sander Frenken (castelonia), ElizaWy, JaidynReiman | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-shields
[bendy_sinister] (female) Authors: bluecarrot16, Sander Frenken (castelonia), ElizaWy, JaidynReiman | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-shields
[bendy_sinister] (male) Authors: bluecarrot16, Sander Frenken (castelonia), ElizaWy, JaidynReiman | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-shields
[Bicorne Athwart Admiral Cockade] (female) Authors: bluecarrot16, JaidynReiman | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-pirates ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Bicorne Athwart Admiral Cockade] (male) Authors: bluecarrot16, JaidynReiman | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-pirates ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Bicorne Athwart Admiral Trim] (female) Authors: bluecarrot16, JaidynReiman | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-pirates ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Bicorne Athwart Admiral Trim] (male) Authors: bluecarrot16, JaidynReiman | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-pirates ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Bicorne Athwart Admiral] (female) Authors: bluecarrot16, JaidynReiman | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-pirates ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Bicorne Athwart Admiral] (male) Authors: bluecarrot16, JaidynReiman | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-pirates ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Bicorne Athwart Captain Skull] (female) Authors: bluecarrot16, JaidynReiman | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-pirates ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Bicorne Athwart Captain Skull] (male) Authors: bluecarrot16, JaidynReiman | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-pirates ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Bicorne Athwart Captain] (female) Authors: bluecarrot16, JaidynReiman | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-pirates ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Bicorne Athwart Captain] (male) Authors: bluecarrot16, JaidynReiman | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-pirates ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Bicorne Athwart Commodore Trim] (female) Authors: bluecarrot16, JaidynReiman | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-pirates ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Bicorne Athwart Commodore Trim] (male) Authors: bluecarrot16, JaidynReiman | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-pirates ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Bicorne Athwart Commodore] (female) Authors: bluecarrot16, JaidynReiman | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-pirates ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Bicorne Athwart Commodore] (male) Authors: bluecarrot16, JaidynReiman | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-pirates ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Bicorne Athwart Skull] (female) Authors: bluecarrot16, JaidynReiman | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-pirates ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Bicorne Athwart Skull] (male) Authors: bluecarrot16, JaidynReiman | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-pirates ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Bicorne Athwart] (female) Authors: bluecarrot16 | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-pirates ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Bicorne Athwart] (male) Authors: bluecarrot16 | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-pirates ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Bicorne Foreaft Commodore Trim] (female) Authors: bluecarrot16, JaidynReiman | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-pirates ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Bicorne Foreaft Commodore Trim] (male) Authors: bluecarrot16, JaidynReiman | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-pirates ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Bicorne Foreaft Commodore] (female) Authors: bluecarrot16, JaidynReiman | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-pirates ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Bicorne Foreaft Commodore] (male) Authors: bluecarrot16, JaidynReiman | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-pirates ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Bicorne foreaft] (female) Authors: bluecarrot16, JaidynReiman | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-pirates ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Bicorne foreaft] (male) Authors: bluecarrot16, JaidynReiman | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-pirates ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Blouse] (female) Authors: bluecarrot16, ElizaWy, Lanea Zimmerman (Sharm) | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles ; https://opengameart.org/content/lpc-7-womens-shirts
[Blush] (female) Authors: JaidynReiman, ElizaWy, Stephen Challener (Redshrike) | License: OGA-BY 3.0 | https://github.com/ElizaWy/LPC/tree/main/Characters/Head ; https://opengameart.org/content/ulpc-expanded-expressions
[Blush] (male) Authors: JaidynReiman, ElizaWy, Stephen Challener (Redshrike) | License: OGA-BY 3.0 | https://github.com/ElizaWy/LPC/tree/main/Characters/Head ; https://opengameart.org/content/ulpc-expanded-expressions
[Boarman] (female) Authors: Benjamin K. Smith (BenCreating), Daniel Eddeland (daneeklu) | License: CC-BY 3.0, GPL 2.0 | https://opengameart.org/content/lpc-style-farm-animals ; https://opengameart.org/content/lpc-wild-boar ; https://opengameart.org/content/lpc-boarman
[Boarman] (male) Authors: Benjamin K. Smith (BenCreating), Daniel Eddeland (daneeklu) | License: CC-BY 3.0, GPL 2.0 | https://opengameart.org/content/lpc-style-farm-animals ; https://opengameart.org/content/lpc-wild-boar ; https://opengameart.org/content/lpc-boarman
[Bob side part] (female) Authors: thecilekli, bluecarrot16, ElizaWy | License: CC0 | https://opengameart.org/content/lpc-pink-short-hair ; https://opengameart.org/content/lpc-hair ; https://github.com/ElizaWy/LPC/blob/main/Characters/Hair ; https://opengameart.org/content/lpc-expanded-sit-run-jump-more
[Bob side part] (male) Authors: thecilekli, bluecarrot16, ElizaWy | License: CC0 | https://opengameart.org/content/lpc-pink-short-hair ; https://opengameart.org/content/lpc-hair ; https://github.com/ElizaWy/LPC/blob/main/Characters/Hair ; https://opengameart.org/content/lpc-expanded-sit-run-jump-more
[Bob] (female) Authors: ElizaWy, bluecarrot16 | License: CC0 | https://opengameart.org/content/lpc-hair ; https://github.com/ElizaWy/LPC/blob/main/Characters/Hair ; https://opengameart.org/content/lpc-expanded-sit-run-jump-more
[Bob] (male) Authors: ElizaWy, bluecarrot16 | License: CC0 | https://opengameart.org/content/lpc-hair ; https://github.com/ElizaWy/LPC/blob/main/Characters/Hair ; https://opengameart.org/content/lpc-expanded-sit-run-jump-more
[Bodice] (female) Authors: bluecarrot16, Matthew Krohn (makrohn), Lanea Zimmerman (Sharm) | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles ; https://opengameart.org/content/lpc-dress-in-combat-poses ; http://opengameart.org/content/lpc-clothing-updates
[Body Color] (female) Authors: Benjamin K. Smith (BenCreating), bluecarrot16, TheraHedwig, Evert, MuffinElZangano, Durrani, Pierre Vigier (pvigier), ElizaWy, Matthew Krohn (makrohn), Johannes Sjölund (wulax), Stephen Challener (Redshrike) | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles ; https://opengameart.org/content/lpc-medieval-fantasy-character-sprites ; https://opengameart.org/content/lpc-ladies ; https://opengameart.org/content/lpc-7-womens-shirts ; https://opengameart.org/content/lpc-jump-expanded ; https://opengameart.org/content/lpc-be-seated ; https://opengameart.org/content/lpc-revised-character-basics ; https://gitlab.com/vagabondgame/lpc-characters ; https://opengameart.org/content/lpc-male-jumping-animation-by-durrani ; https://opengameart.org/content/lpc-runcycle-and-diagonal-walkcycle
[Body Color] (female) Authors: bluecarrot16, Benjamin K. Smith (BenCreating), ElizaWy, MuffinElZangano, Durrani, Nila122, kheftel, Stephen Challener (Redshrike) | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles ; https://opengameart.org/content/lpc-child-standing-template ; https://opengameart.org/content/lpc-children-walk-animation ; https://opengameart.org/content/lpc-male-jumping-animation-by-durrani ; https://opengameart.org/content/lpc-male-jumping-animation-by-durrani ; https://opengameart.org/content/lpc-jump-expanded ; https://opengameart.org/content/lpc-jump-expanded
[Body Color] (female) Authors: bluecarrot16, Evert, TheraHedwig, Benjamin K. Smith (BenCreating), MuffinElZangano, Durrani, Pierre Vigier (pvigier), Eliza Wyatt (ElizaWy), Matthew Krohn (makrohn), Johannes Sjölund (wulax), Stephen Challener (Redshrike) | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles ; https://opengameart.org/content/lpc-medieval-fantasy-character-sprites ; https://opengameart.org/content/lpc-ladies ; https://opengameart.org/content/lpc-teen-unisex-base-clothes ; https://opengameart.org/content/lpc-jump-expanded ; https://opengameart.org/content/lpc-revised-character-basics ; https://opengameart.org/content/lpc-be-seated ; https://gitlab.com/vagabondgame/lpc-characters ; https://opengameart.org/content/lpc-male-jumping-animation-by-durrani ; https://opengameart.org/content/lpc-jump-expanded
